;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;Déficits du RG+FSV, ONDAM à 2,4%;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;CNAF;-2.4;1.3;1.9;3.0;3.9;4.6;;;;;9.5;;;;;;;;
;CNAV;-6;-5.6;-5.8;-5.7;-6.6;-8.2;;;;;-16.4;;;;;;;;
;CNSA;0;-0.2;-0.6;-0.5;-0.4;-0.3;;;;;0.9;;;;;;;;
;RG;-40.2;-22.999999999999996;-20.5;-17.8;-16.9;-17.099999999999998;;;;;-12.999999999999998;;;;;;;;
;FSV;-2.5;-2.6;-2.1;-1.6;-1.2;-0.8;;;;;1.8;;;;;;;;
;RG+FSV;-42.7;-25.599999999999998;-22.6;-19.400000000000002;-18.099999999999998;-17.9;;;;;-11.199999999999998;;;;;;;;
;Cades recettes;16.3;16.5;16.8;17.3;15.5;15.9;;;;;18.7;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;Scénario de reprise des déficits par la CADES;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;2020;2021.0;2022.0;2023.0;2024.0;2025.0;2026.0;2027.0;2028.0;2029.0;2030.0;;;;;;;;
;Déficit cumulé RG + FSV;-40.2;-76.0;-107.6;-135.3;-160.3;-183.60000000000002;-203.90000000000003;-220.80000000000004;-234.60000000000005;-244.50000000000006;-249.90000000000006;;;;;;;;
;S1 / Déficit RG+FSV;-40.2;-35.8;-31.6;-27.700000000000003;-25.0;-23.3;-20.3;-16.9;-13.8;-9.899999999999999;-5.4;;;;;;;;
;Reprises déficits Cades;-20;-40.0;-40.0;-36.0;-30.0;-30.0;-30.0;-25.0;-25.0;-10.0;-8.0;;;;;;;;
;S1 / Solde ACOSS pour RG après reprise;-51;-53.093999999999994;-49.69399999999999;-46.394000000000005;-41.394000000000005;-34.69400000000002;-24.994000000000028;-16.894000000000034;-5.694000000000045;-5.594000000000051;-2.9940000000000566;;;;;;;;
;Résultat Cades;16;16.5;16.8;17.3;15.5;15.9;16.4;16.9;17.5;18.1;18.700000000000003;;;;;;;;
