;Chiffres DSS donnés;;;;;;;;;;;Réalisé 2020;;;;;;;;;
;;;;;;;;;;;;;Maladie;Vieillesse;Famille;AT-MP;Régime général (Md€);FSV;RG+FSV (Md€);;
;;;;;;;;;;;;Charges de gestion courante;6700;1600;3000;900;12200;100;12300;;
;FSV;19.12634361086;;18.2;0.9263436108600018;0.0508980005967034;;18.766534090439997;0.35980952042000425;0.019172934047704503;;Autres charges;0;0;0;0;100;0;100;;
;Charges nettes RG+FSV;429.4412184208318;;414.8;14.641218420831763;0.035297055016470014;;404.4660154802782;24.975202940553572;0.06174858204315899;;Charges financières;0;0;0;0;0;0;0;;
;;;;;;;;;;;;Charges diverses;0;0;0;0;100;0;100;;
;en Md€;Réalisé 2020;;LFSS 2020;Ecart;Ecart (%);;Réalisé 2019;Ecart;"Ecart 
en %";;;;;;;;;;;
;Prestations légales;241.8579511611034;;243.1;-1.2420488388966078;-0.0051092095388589375;;236.8;5.057951161103375;0.02135959105195682;;;Maladie;Vieillesse;Famille;AT-MP;Régimes de base (Md€);%;FSV;ROBSS+FSV (Md€);%
;Prestations extralégales;0.5723656822722;;0.6;-0.027634317727800006;-0.046057196213000015;;0.6;-0.027634317727800006;-0.046057196213000015;;CHARGES NETTES;223800;247300;50300;13600;521300;;18200;521800;5.650753006656983
;Autres prestations nettes;0;;0.1;-0.1;;;0.0043455909200000005;-0.0043455909200000005;;;Prestations sociales nettes;210100;243700;36900;10900;499600;;100;499700;4.884657951843163
;Total prestations sociales nettes;242.43031684337558;;243.7;-1.26968315662441;-0.005210025263128478;;237.40434559092;5.025971252455577;0.021170510758535183;;Prestations légales nettes;208200;243100;31100;10400;490700;;0;490700;4.9907148478092855
;Transferts versés nets;1.3485873431401492;;1.5;-0.15141265685985084;-0.10094177123990056;;1.5;-0.15141265685985084;-0.10094177123990056;;Prestations extralégales nettes;200;600;5700;0;6500;;0;6500;0.28362950890288285
;Charges de gestion courante;2.0120623878042;;2.1;-0.08793761219579999;;;2.1;-0.08793761219579999;-0.04187505342657142;;Autres prestations nettes;1800;100;0;500;2400;;100;2500;-7.053824692702538
;Autres charges nettes;0.24232551586800002;;0;0.24232551586800002;;;0.3;-0.057674484131999965;-0.1922482804399999;;Transferts nets;7000;1500;10400;1700;8800;;18100;9100;++
