;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;2020 Réalisé;;;;;;;;;
;en Md€;Réalisé 2020;;LFSS 2020;"Ecart
en Md€";"Ecart
en %";;Réalisé 2019;"Ecart
en Md€";"Ecart
en %";;;Maladie;Vieillesse;Famille;AT-MP;Régime général (Md€);FSV;RG+FSV (Md€);;
;Vieillesse;245.93452456337522;;247.3;-1.3654754366247914;-0.0055215343171241054;;241.3;4.634524563375209;0.01920648389297641;;Charges financières;4.76299534;1.27024223;6.12150913;11.43155141;23.58629811;0;23.58629811;;
;Total régimes de base;536.3360128223675;;521.3;15.036012822367525;0.028843301021230627;;509.3;27.036012822367468;0.05308465113364906;;Charges diverses;35.24344159894001;4.783411869999999;59.31842807765;5.043574270000001;104.38885581659001;1.9947744499999942;106.38363026659;;
;FSV;19.12634361086;;18.2;0.9263436108600018;0.0508980005967034;;18.8;0.3263436108600004;0.01735870270531917;;;;;;;;;;;
;Régimes de base + FSV;536.7651154779275;;521.8;14.965115477927498;0.02867979202362495;;509.7;27.065115477927463;0.053100089224892025;;;Maladie;Vieillesse;Famille;AT-MP;Régimes de base (Md€);%;FSV;ROBSS+FSV (Md€);%
;;;;;;;;;;;;CHARGES NETTES;240211.1843756005;245934.52456337522;49994.373485875;13585.48562684984;536336.0128223675;5.317066884229793;19126.34361086;536765.1154779275;5.305314978632092
;;;;;;;;;;;;Prestations sociales nettes;221346.13822316955;242168.70469861507;36732.005947515005;10894.355519829842;509315.06421310635;4.507173510042595;0;509315.06421310635;4.507173510042595
;;;;;;;;;;;;Prestations légales nettes;220010.64404545954;241596.59305791504;31094.96990972501;10403.178405359842;501279.24524243636;4.60728707068252;0;501279.24524243636;4.60728707068252
;;;;;;;;;;;;Prestations extralégales nettes;136.56476908000002;567.76604978;5636.388565100001;3.9664266500000003;6344.685810609999;0.21097704176351595;0;6344.685810609999;0.21097704176351595
;;;;;;;;;;;;Autres prestations nettes;1198.92940863;4.34559092;0.64747269;487.21068782;1691.1331600600001;-6.9260407559191055;0;1691.1331600600001;-6.9260407559191055
;;;;;;;;;;;;Transferts nets;11869.638283150001;1413.7847383901492;10281.142472309999;1591.21988528;13592.370325820148;++;18998.540980140002;13925.885480210149;++
;;;;;;;;;;;;Transferts avec d'autres régimes de base;684.8481428200005;196.3698712466491;5241.634264429999;1239.71840386;793.4644850766497;14.112840627861868;0;793.4644850766497;14.112840627861868
;;;;;;;;;;;;Transfert avec des fonds;10436.78407804;37.2967960735;5040.295226939999;295.00282928999997;10815.070074313498;++;18709.92869014;10859.9729387035;++
;;;;;;;;;;;;Autres transferts versés;748.00606229;1180.11807107;-0.7870190600000058;56.49865213;1983.83576643;-10.322360723824797;288.61229;2272.44805643;-10.323011167040574
;;;;;;;;;;;;Charges de gestion courante;6653.340744392011;2013.83312586;2863.1560997099996;1005.0542582700001;12535.384228232011;-0.37920538854201435;0.37687859;12535.76110682201;-0.38047136778868174
;;;;;;;;;;;;Autres charges;342.06712488894;338.20200050999995;118.06896634;94.85596346999999;893.19405520894;3.024279236162264;127.42575212999999;988.40467778894;0.18619421723560237
;;;;;;;;;;;;Charges financières;5.221335250000001;238.64630964999998;6.12150913;14.631429180000001;264.62058321;17.706311954453625;0;264.62058321;17.706311954453625
;;;;;;;;;;;;Charges diverses;336.84578963894;99.55569086;111.94745721;80.22453429;628.57347199894;-2.1157639152006302;127.42575212999999;723.7840945789401;-4.984471295914272
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;Md€;Réalisé 2019;Prévision 2020;Prévision 2020;Prévision 2020;Réalisé 2020;;Écart def. 2020 / 2019;Écarts def. 2020 / prév. 2020 en LFSS 2021;
;;;;;;;;;;;;;(a);LFSS 2020;CCSS sept. 2020;LFSS 2021;comptes définitifs au 15 mars 2021;;(c)-(a);(c)-(b);
;;;;;;;;;;;;;;;;(b);(c);;;;
;;;;;;;;;;;;;;;;;;;;;
;;Réalisé 2020;;LFSS 2020;Ecart;Ecart (%);;Réalisé 2019;Ecart;Ecart (%);;Maladie;-1.4659999999999798;-3.3;-30;-33.7;-30.43999999999997;;-28.97399999999999;3.2600000000000335;
;Maladie;264.657;;222.6;42.05699999999999;0.18893530997304578;;237.408;27.248999999999995;0.11477709260008086;;Produits;235.942;219.2;;204.1;234.217;;-1.7249999999999943;30.11700000000002;
;AT-MP;13.439;;12.2;1.2390000000000008;0.1015573770491804;;13.118;0.32099999999999973;0.024470193627077277;;Charges;237.408;222.6;;237.8;264.657;;27.248999999999995;26.85699999999997;
